"total_games: 500, start_rank: 13, open_world",
Key,Value
random-random,43.5%-53.9%
random-greedy,34.5%-44.7%
random-smart,36.1%-46.4%
random-minimax:depth=6,29.8%-39.7%
greedy-random,57.3%-67.5%
greedy-greedy,43.9%-54.3%
greedy-smart,46.1%-56.8%
greedy-minimax:depth=6,43.9%-54.3%
smart-random,54.8%-65.1%
smart-greedy,41.1%-51.8%
smart-smart,43.4%-54.4%
smart-minimax:depth=6,39.0%-49.4%
minimax:depth=6-random,60.1%-70.0%
minimax:depth=6-greedy,43.9%-54.3%
minimax:depth=6-smart,48.5%-59.0%
minimax:depth=6-minimax:depth=6,43.9%-54.3%
